sample_fp	plate	well	tile	round
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-053__Channel_Cy5,Cy3,DAPI.nd2	1	A3	53	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-054__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	54	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-054__Channel_AF750,Cy3,DAPI.nd2	1	A3	54	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-054__Channel_Cy5,Cy3,DAPI.nd2	1	A3	54	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-055__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	55	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-055__Channel_AF750,Cy3,DAPI.nd2	1	A3	55	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-055__Channel_Cy5,Cy3,DAPI.nd2	1	A3	55	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-056__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	56	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-056__Channel_AF750,Cy3,DAPI.nd2	1	A3	56	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-056__Channel_Cy5,Cy3,DAPI.nd2	1	A3	56	3
/lab/ops_data/olives/plate_1/input_ph/round_1/P001_Wells-A3_Points-057__Channel_AF750,Cy5,GFP,DAPI.nd2	1	A3	57	1
/lab/ops_data/olives/plate_1/input_ph/round_2/20250423_131025_998/P001_Wells-A3_Points-057__Channel_AF750,Cy3,DAPI.nd2	1	A3	57	2
/lab/ops_data/olives/plate_1/input_ph/round_3/20250425_145250_854/P001_Wells-A3_Points-057__Channel_Cy5,Cy3,DAPI.nd2	1	A3	57	3
